timestamp,elapsed_time(s),marker_id,distance(m),x(m),y(m),z(m),roll(deg),pitch(deg),yaw(deg)
2025-10-21 20:26:26.389,14.139,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:26.526,14.276,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:26.655,14.405,0,0.3015,0.0102,-0.0205,0.3007,-168.22,0.31,0.62
2025-10-21 20:26:26.758,14.509,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:26.888,14.638,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:26.990,14.740,0,0.3023,0.0095,-0.0209,0.3014,-170.36,11.12,1.56
2025-10-21 20:26:27.125,14.875,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:27.227,14.977,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:27.357,15.107,0,0.3023,0.0095,-0.0209,0.3014,-170.36,11.12,1.56
2025-10-21 20:26:27.457,15.208,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:27.590,15.340,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:27.722,15.472,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:27.823,15.573,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:27.924,15.674,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.057,15.807,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.191,15.941,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.293,16.043,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.422,16.173,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.523,16.273,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.623,16.373,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.726,16.476,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.856,16.606,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:28.956,16.707,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.060,16.810,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.191,16.942,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.293,17.043,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.423,17.173,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.528,17.279,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.660,17.410,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.792,17.542,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:29.926,17.676,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.027,17.777,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.157,17.908,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.258,18.008,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.361,18.111,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.491,18.241,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.591,18.341,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.692,18.442,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.824,18.575,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:30.958,18.708,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.062,18.812,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.191,18.942,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.295,19.045,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.427,19.177,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.563,19.313,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.692,19.442,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.792,19.543,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.893,19.643,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:31.994,19.744,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.125,19.875,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.228,19.978,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.329,20.079,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.429,20.179,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.561,20.312,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.693,20.443,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.794,20.544,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:32.928,20.678,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:33.028,20.779,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:33.159,20.910,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:33.260,21.010,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:33.363,21.114,0,0.3004,0.0095,-0.0206,0.2995,-177.06,-8.85,-0.58
2025-10-21 20:26:33.493,21.244,0,0.3023,0.0095,-0.0209,0.3014,-170.36,11.12,1.56
